"cluster","predicted_cell_type","total_score","n_supporting_markers","best_marker","best_marker_score"
"0","DCT",872.215137338122,1,"Slc12a3",872.215137338122
"1","ALOH",1979.49474717243,1,"Slc12a1",1979.49474717243
"10","CD8_T",790.173100223461,1,"Cd8a",790.173100223461
"11","ALOH",0,0,"Slc12a1",0
"12","A_IC",2026.96891202305,1,"Aqp6",2026.96891202305
"13","ALOH",0,0,"Slc12a1",0
"14","TH17",1009.37261925829,2,"Ccr6",954.243311867902
"15","TH17",0.0285942369300829,1,"Il17re",0.0285942369300829
"16","Macro",2180.5077958688,1,"C1qa",2180.5077958688
"17","B_Cell",2679.09883911985,1,"Cd79a",2679.09883911985
"18","DC",1393.71517145125,2,"Cd209a",1027.84317724323
"19","ALOH",0,0,"Slc12a1",0
"2","DCT",153.772305901848,1,"Slc12a3",153.772305901848
"20","TH17",16.2130915867864,2,"Ccr6",8.98328767368607
"21","ALOH",0,0,"Slc12a1",0
"22","Baso",2239.11938092755,2,"Fcer1a",1162.6167826816
"23","ALOH",0,0,"Slc12a1",0
"3","CD4_T",688.237670878808,1,"Tcf7",688.237670878808
"4","CNT",243.160088414778,1,"Trpv5",243.160088414778
"5","CD4_T",4.06785651095366,1,"Tcf7",4.06785651095366
"6","GEC",2291.0266920292,2,"Emcn",2207.59626559472
"7","Tra_IC",1676.81644524438,1,"Hmx2",1676.81644524438
"8","DC",27.9709401501365,2,"Clec10a",27.9487490713622
"9","CD_PC",1841.1571989766,1,"Aqp2",1841.1571989766
